"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta10212001","Depreciacion Acumulada Edificaciones","10212001","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212002","Depreciacion Acumulada Muebles y Enseres","10212002","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212003","Depreciacion Acumulada Equipos de Computacion","10212003","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212004","Depreciacion Acumulada Herramientas","10212004","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10212005","Depreciacion Acumulada Equipos de Comunicacion","10212005","account.data_account_type_fixed_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102210","Activos Intangibles","102210","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10221001","Software de Gestion","10221001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10221002","Licencias Otros","10221002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102220","Amortizaciones Acumuladas Activos Intangibles","102220","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10222001","Amort. Acum. Software de Gestion","10222001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10222002","Amort. Acum. Licencias Otros","10222002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102310","Acciones Telefonicas","102310","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10231001","Acciones Telefonicas Cotel","10231001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10231002","Acciones Telefonicas Cotas","10231002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10231003","Acciones Telefonicas Comteco","10231003","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102410","Gastos Pagados por Adelantado","102410","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10241001","Gastos de Publicidad","10241001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10241002","Materiales de Escritorio","10241002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10241003","Matenimiento Oficinas","10241003","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10241004","Intereses Pagados por Adelantado","10241004","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta102510","Activos Pendientes de Activacion","102510","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10251001","Inmuebles Pendientes de Activacion","10251001","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta10251002","Activos Intangibles Pendientes de Activacion","10251002","account.data_account_type_current_assets","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20110001","Proveedores Locales Por Pagar","20110001","account.data_account_type_payable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20110002","Proveedores del Exterior por Pagar","20110002","account.data_account_type_payable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20110003","Anticipos de Clientes","20110003","account.data_account_type_payable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20110004","Tarjetas de Credito Por Pagar","20110004","account.data_account_type_credit_card","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20110005","Otras "cuentas por Pagar al Personal","20110005","account.data_account_type_payable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta201110","cuentas Por Pagar","201110","account.data_account_type_payable","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20120001","Alquileres por  Pagar","20120001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","True"
"cuenta20120002","Provision de Gastos de Importacion","20120002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20120003","Depositos No Identificados","20120003","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20130001","Servicio Telefonico por pagar","20130001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20130002","Servicio de Internet","20130002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
